nearest_station,latitude,longitude,distance_to_yumeshima_km
八尾南,34.5973903,135.5825461,18.659761775596333
新今宮,34.6497931,135.5015478,10.242729086647849
汐見橋,34.6682493,135.4861949,9.0245805289632
安立町,34.6053677,135.4900535,10.537384074093149
東玉出,34.6265876,135.4958635,10.115241625823968
大阪難波,34.6671816,135.4988966,10.14393579192418
神ノ木,34.6158968,135.4970761,10.609153767892154
細井川,34.6099652,135.4912163,10.391906807071052
渡辺橋,34.693688,135.494671,10.68275319169828
住吉(大阪),34.7024854,135.4959506,11.245586289749276
ドーム前,34.6704407,135.4783954,8.384546121381652
柴島,34.7283317,135.5115676,14.03405398394088
小路(大阪メトロ),34.6600863,135.5540911,15.074666990612576
大阪梅田(阪神),34.7006318,135.4994685,11.42545821493194
布施,34.664082,135.563416,15.957816605360154
関目成育,34.7126865,135.5469429,15.9051522195184
